date,Open,High,Low,Close,Adj Close,Volume
2021. 8. 3,3002135,3026255,2813398,2874150,26112659355554,336721019712978
2021. 8. 4,2881266,3161508,2817638,3119880,28758963345664,366059314913333
2021. 8. 5,3121082,3248569,2910789,3232252,35563495924431,378740060071453
2021. 8. 6,3232452,3375329,3116575,3312788,30327937983450,386679368296325
2021. 8. 7,3313665,3633531,3287112,3618642,37908714812804,423345524512323
2021. 8. 8,3623219,3650002,3382466,3453500,32588965408603,404227903606134
2021. 8. 9,3452530,3652660,3317106,3633207,36650298894344,424868011078375
2021. 8. 10,3627694,3721805,3525429,3623883,31660360897323,421766621682122
2021. 8. 11,3625197,3782437,3603475,3651063,30831450466009,427281688011894
2021. 8. 12,3650983,3749725,3473069,3539482,29312049514915,411143962013876
2021. 8. 13,3545980,3864532,3544730,3861673,27759424691901,452417801752861
2021. 8. 14,3862313,3869890,3736494,3795686,23085868925961,444502203998482
2021. 8. 15,3796654,3859183,3624059,3848074,25765553427623,450687775544884
2021. 8. 16,3846816,3877774,3662769,3681868,26827846929813,429773680029214
2021. 8. 17,3673553,3847192,3529690,3549830,29754698260382,411965053781171
2021. 8. 18,3546437,3658384,3481331,3535559,25361388058033,416625638715057
2021. 8. 19,3534432,3747542,3483618,3744097,22882451315755,436584691312830
2021. 8. 20,3743462,3894865,3733860,3862412,24569617537795,453133589046306
2021. 8. 21,3862408,3886403,3772363,3791423,21285372831270,444300796553010
2021. 8. 22,3791591,3845723,3692612,3810265,18784188177783,446621072624599
2021. 8. 23,3809374,3950143,3805335,3878913,24105486580698,457300392721475
2021. 8. 24,3885455,3915278,3673697,3694231,23525295559617,434659246262655
2021. 8. 25,3696343,3783887,3601041,3754863,22011665297139,440332354127524
2021. 8. 26,3759324,3783799,3566673,3630484,20265925823658,423318628518337
2021. 8. 27,3625895,3814582,3597253,3801517,21651344081745,449178167132517
2021. 8. 28,3806752,3818075,3739685,3771067,15935118536283,442331656464488
2021. 8. 29,3773819,3816203,3671615,3750845,15455021655524,440009959476050
2021. 8. 30,3751066,3904587,3669610,3761265,22441037152884,439702620612461
2021. 8. 31,3765212,4015220,3726645,3981112,31822979539976,469990110478618
2021. 9. 1,3977668,4435817,3929161,4433460,34864557362133,521755739029759
2021. 9. 2,4422130,4439880,4324184,4390432,28194365358816,514379453006188
2021. 9. 3,4386374,4648080,4294942,4554365,30351807619104,535676318349705
2021. 9. 4,4551240,4587690,4435689,4493358,24047647866541,527478499680492
2021. 9. 5,4491627,4599367,4436332,4567677,21232824806952,536264842327044
2021. 9. 6,4566969,4589799,4471635,4543324,21583270262422,533102801866057
2021. 9. 7,4541183,4568721,3562554,3981461,45256932105039,465351928812624
2021. 9. 8,3983766,4155740,3765773,4083078,36879967306749,477280583938983
2021. 9. 9,4030813,4160742,3977565,4010188,28157572697960,469995712616837
2021. 9. 10,4008111,4119985,3694959,3758682,26157795081586,441417592183497
2021. 9. 11,3755785,3916708,3755705,3827468,21800812139704,449670897740839
2021. 9. 12,3827484,4052403,3786307,3991163,19674569321936,468955473321973
2021. 9. 13,3988046,4018930,3664556,3850988,26592912964914,451870220458629
2021. 9. 14,3851931,4018129,3841771,4018129,22417134745851,472378913894800
2021. 9. 15,4020529,4216207,3939406,4216207,20562515348055,497920097526156
2021. 9. 16,4213631,4299337,4101089,4197772,23433867585710,489595781200936
2021. 9. 17,4195743,4235773,3967391,4017141,20831224316262,469642590896792
2021. 9. 18,4015822,4185305,3985644,4056714,18906670220311,476987140009748
2021. 9. 19,4058215,4075986,3884443,3935775,16852779868711,462784674539567
2021. 9. 20,3936038,3950310,3479836,3513280,32356352899900,411371264759111
2021. 9. 21,3535028,3672824,3170179,3272643,36100614589989,386061476328274
2021. 9. 22,3271196,3645111,3249699,3638128,28106839826254,428621935905036
2021. 9. 23,3638253,3723835,3602084,3707109,21886783324039,438813721570447
2021. 9. 24,3705980,3704508,3237381,3460132,30069502692690,405237356484012
2021. 9. 25,3459206,3504185,3327118,3452928,22345610894192,406320230286812
2021. 9. 26,3453846,3676575,3239321,3614085,24989369165563,425354429516470
2021. 9. 27,3618301,3719360,3454595,3456298,22617411056398,407583138532924
2021. 9. 28,3450202,3513685,3317313,3334759,19901727341534,389267489944408
2021. 9. 29,3337135,3490824,3311637,3390765,18725245125298,399005515023438
2021. 9. 30,3390070,3606528,3370937,3556153,20988962908554,420016900314386
2021. 10. 1,3555502,3928628,3538277,3904520,26428319904440,461419729314479
2021. 10. 2,3906119,4090238,3848460,4003892,22668738430231,471530811554139
2021. 10. 3,4002798,4113574,3952453,4037083,18317294643254,475291548503970
2021. 10. 4,4037576,4068764,3884344,4004662,20959397192377,470223367171152
2021. 10. 5,4006671,4201826,3998928,4177906,19705961958693,491103512960092
2021. 10. 6,4175593,4328513,4015404,4265721,25951005330488,500927688127901
2021. 10. 7,4261256,4348535,4141103,4274211,22743351670148,503691667353226
2021. 10. 8,4274042,4385983,4244624,4264323,19324654848170,500309178511886
2021. 10. 9,4259822,4342419,4241446,4278631,15204986263617,504286883139400
2021. 10. 10,4277798,4311571,4086288,4099309,19350788658471,483206035275388
2021. 10. 11,4091979,4327657,4051335,4239913,22231495984854,500118629382020
2021. 10. 12,4241257,4241257,4088495,4184176,21657366972348,492451771607097
2021. 10. 13,4184392,4285673,4071800,4280161,19421446257574,509420875132256
2021. 10. 14,4278686,4523496,4266648,4476388,23077277252587,529916169180376
2021. 10. 15,4481283,4607098,4418947,4568686,24790111389083,538638324363048
2021. 10. 16,4572272,4686750,4501564,4530538,19608405729508,534401250387168
2021. 10. 17,4529919,4630502,4329867,4550328,18815930180689,536795869092188
2021. 10. 18,4551068,4599623,4380672,4445561,20564279774574,523133817343358
2021. 10. 19,4443667,4566549,4428385,4559168,18972526114855,542592083442273
2021. 10. 20,4559262,4898447,4497024,4885750,23912881417704,576642315502771
2021. 10. 21,4892476,5136306,4748243,4774172,33175973066240,562521697530483
