Date,Open,High,Low,Close,Adj Close,Volume
2020-01-10,58800,59700,58300,59500,55573.85547,16000170
2020-01-13,59600,60000,59100,60000,56040.86328,11359139
2020-01-14,60400,61000,59900,60000,56040.86328,16906295
2020-01-15,59500,59600,58900,59000,55106.84766,14300928
2020-01-16,59100,60700,59000,60700,56694.67188,14381774
2020-01-17,61900,62000,61000,61300,57255.08203,16025661
2020-01-20,62000,62800,61700,62400,58282.5,12528855
2020-01-21,62000,62400,61200,61400,57348.48047,11142693
2020-01-22,60500,62600,60400,62300,58189.09766,15339565
2020-01-23,61800,61800,60700,60800,56788.07422,14916555
2020-01-28,59400,59400,58300,58800,54920.04688,23664541
2020-01-29,59100,59700,58800,59100,55200.25,16446102
2020-01-30,58800,58800,56800,57200,53425.625,20821939
2020-01-31,57800,58400,56400,56400,52678.41016,19749457
2020-02-03,55500,57400,55200,57200,53425.625,23995260
2020-02-04,57100,59000,56800,58900,55013.44922,21800192
2020-02-05,60000,60200,58900,59500,55573.85547,19278165
2020-02-06,60100,61100,59700,61100,57068.28125,14727159
2020-02-07,61100,61200,59700,60400,56414.46875,16402493
2020-02-10,59200,59800,59100,59700,55760.66016,13107121
2020-02-11,59800,60700,59700,59900,55947.46094,11071231
2020-02-12,60300,60700,59700,60500,56507.86719,12904207
2020-02-13,61200,61600,60500,60700,56694.67188,18449775
2020-02-14,60900,61900,60200,61800,57722.08594,13276067
2020-02-17,61600,62000,61200,61500,57441.88672,8740596
2020-02-18,60800,60900,59700,59800,55854.06641,16674266
2020-02-19,59800,60400,59400,60200,56227.66797,12951496
2020-02-20,60700,61300,59600,60000,56040.86328,14591924
2020-02-21,58800,59800,58500,59200,55293.65234,13777393
2020-02-24,57400,58100,56800,56800,53052.01563,25627537
2020-02-25,56200,58000,56200,57900,54079.43359,23885408
2020-02-26,56000,57000,56000,56500,52771.80859,25483102
2020-02-27,56300,56900,55500,55900,52211.40625,23209541
2020-02-28,55000,55500,54200,54200,50623.58203,30054227
2020-03-02,54300,55500,53600,55000,51370.79297,30403412
2020-03-03,56700,56900,55100,55400,51744.39844,30330295
2020-03-04,54800,57600,54600,57400,53612.42578,24765728
2020-03-05,57600,58000,56700,57800,53986.02734,21698990
2020-03-06,56500,57200,56200,56500,52771.80859,18716656
2020-03-09,56500,56500,56500,56500,52771.80859,0
2020-03-10,53800,54900,53700,54600,50997.1875,32106554
2020-03-11,54300,54400,52000,52100,48662.15234,45707281
2020-03-12,52100,52100,52100,52100,48662.15234,0
2020-03-13,47450,51600,46850,49950,46654.01953,59462933
2020-03-16,50100,50900,48800,48900,45673.29688,33339821
2020-03-17,46900,49650,46700,47300,44178.88281,51218151
2020-03-18,47750,48350,45600,45600,42591.05469,40152623
2020-03-19,46400,46650,42300,42950,40115.92188,56925513
2020-03-20,44150,45500,43550,45400,42404.25781,49730008
2020-03-23,42600,43550,42400,42500,39695.61719,41701626
2020-03-24,43850,46950,43050,46950,43851.98047,49801908
2020-03-25,48950,49600,47150,48650,45439.79688,52735922
2020-03-26,49000,49300,47700,47800,44645.88672,42185129
2020-03-27,49600,49700,46850,48300,45112.89844,39896178
2020-03-30,47050,48350,46550,47850,45022.56641,26797395
2020-03-31,48000,48500,47150,47750,44928.47656,30654261
2020-04-01,47450,47900,45800,45800,43093.70313,27259532
2020-04-02,46200,46850,45350,46800,44034.60938,21621076
2020-04-03,47400,47600,46550,47000,44222.78516,22784682
2020-04-06,47500,48800,47250,48700,45822.33984,23395726
2020-04-07,49650,50200,49000,49600,46669.16406,31524034
2020-04-08,49600,49750,48600,48600,45728.24609,25010314
2020-04-09,49750,49800,48700,49100,46198.70313,22628058
2020-04-10,48950,49250,48650,49250,46339.84375,17839111
2020-04-13,48650,48900,48300,48300,45445.98047,14431800
2020-04-14,48800,49200,48300,49000,46104.60938,14206216
2020-04-16,49350,49350,48550,49000,46104.60938,23349760
2020-04-17,50800,52000,50300,51400,48362.79688,32041675
2020-04-20,51400,51400,50000,50100,47139.61719,21866354
2020-04-21,49400,49700,48700,49250,46339.84375,27407543
